"Player","Overs","Mdns","Runs","Wkts","Econ","Team","Opposition","Ground","Match.Date","Scorecard","Match_Date","Year","Complete_Overs","Partial_Balls","Total_Balls","Strike_Rate"
"GD McGrath",7,4,15,7,2.14,"Australia","Namibia","Potchefstroom","27-02-2003","ODI # 1970",2003-02-27,2003,7,0,42,6
"AJ Bichel",10,0,20,7,2,"Australia","England","Gqeberha","02-03-2003","ODI # 1976",2003-03-02,2003,10,0,60,8.57
"TG Southee",9,0,33,7,3.66,"New Zealand","England","Wellington","20-02-2015","ODI # 3607",2015-02-20,2015,9,0,54,7.71
"WW Davis",10.3,0,51,7,4.85,"West Indies","Australia","Leeds","11-06-1983","ODI # 203",1983-06-11,1983,10,3,63,9
"Mohammed Shami",9.5,0,57,7,5.79,"India","New Zealand","Wankhede","15-11-2023","ODI # 4703",2023-11-15,2023,9,5,59,8.43
"GJ Gilmour",12,6,14,6,1.16,"Australia","England","Leeds","18-06-1975","ODI # 31",1975-06-18,1975,12,0,72,12
"A Nehra",10,2,23,6,2.3,"India","England","Durban","26-02-2003","ODI # 1969",2003-02-26,2003,10,0,60,10
"SE Bond",10,2,23,6,2.3,"New Zealand","Australia","Gqeberha","11-03-2003","ODI # 1986",2003-03-11,2003,10,0,60,10
"WPUJC Vaas",9.1,2,25,6,2.72,"Sri Lanka","Bangladesh","Pietermaritzburg","14-02-2003","ODI # 1950",2003-02-14,2003,9,1,55,9.17
"KAJ Roach",8.3,0,27,6,3.17,"West Indies","Netherlands","Delhi","28-02-2011","ODI # 3112",2011-02-28,2011,8,3,51,8.5
"MA Starc",9,0,28,6,3.11,"Australia","New Zealand","Auckland","28-02-2015","ODI # 3617",2015-02-28,2015,9,0,54,9
"Shaheen Shah Afridi",9.1,0,35,6,3.81,"Pakistan","Bangladesh","Lord's","05-07-2019","ODI # 4186",2019-07-05,2019,9,1,55,9.17
"SL Malinga",7.4,0,38,6,4.95,"Sri Lanka","Kenya","Colombo (RPS)","01-03-2011","ODI # 3113",2011-03-01,2011,7,4,46,7.67
"KH MacLeay",11.5,3,39,6,3.29,"Australia","India","Nottingham","13-06-1983","ODI # 207",1983-06-13,1983,11,5,71,11.83
"GD McGrath",8.4,3,14,5,1.61,"Australia","West Indies","Manchester","30-05-1999","ODI # 1470",1999-05-30,1999,8,4,52,10.4
"Shahid Afridi",8,3,16,5,2,"Pakistan","Kenya","Hambantota","23-02-2011","ODI # 3105",2011-02-23,2011,8,0,48,9.6
"AJ Hall",10,2,18,5,1.8,"South Africa","England","Bridgetown","17-04-2007","ODI # 2574",2007-04-17,2007,10,0,60,12
"Mohammed Shami",5,1,18,5,3.6,"India","Sri Lanka","Wankhede","02-11-2023","ODI # 4690",2023-11-02,2023,5,0,30,6
"AG Hurst",10,3,21,5,2.1,"Australia","Canada","Birmingham","16-06-1979","ODI # 70",1979-06-16,1979,10,0,60,12
"PA Strang",9.4,1,21,5,2.17,"Zimbabwe","Kenya","Patna","27-02-1996","ODI # 1063",1996-02-27,1996,9,4,58,11.6
"L Klusener",8.3,3,21,5,2.47,"South Africa","Kenya","Amstelveen","26-05-1999","ODI # 1462",1999-05-26,1999,8,3,51,10.2
"Shahid Afridi",10,0,23,5,2.3,"Pakistan","Canada","Colombo (RPS)","03-03-2011","ODI # 3116",2011-03-03,2011,10,0,60,12
"CO Obuya",10,0,24,5,2.4,"Kenya","Sri Lanka","Nairobi (Gym)","24-02-2003","ODI # 1965",2003-02-24,2003,10,0,60,12
"Sir RJ Hadlee",10.1,4,25,5,2.45,"New Zealand","Sri Lanka","Bristol","13-06-1983","ODI # 206",1983-06-13,1983,10,1,61,12.2
"MA Starc",9.4,1,26,5,2.68,"Australia","New Zealand","Lord's","29-06-2019","ODI # 4178",2019-06-29,2019,9,4,58,11.6
"BKV Prasad",9.3,2,27,5,2.84,"India","Pakistan","Manchester","08-06-1999","ODI # 1476",1999-06-08,1999,9,3,57,11.4
"A Codrington",9,3,27,5,3,"Canada","Bangladesh","Durban","11-02-2003","ODI # 1946",2003-02-11,2003,9,0,54,10.8
"TA Boult",10,3,27,5,2.7,"New Zealand","Australia","Auckland","28-02-2015","ODI # 3617",2015-02-28,2015,10,0,60,12
"Wasim Akram",9,1,28,5,3.11,"Pakistan","Namibia","Kimberley","16-02-2003","ODI # 1954",2003-02-16,2003,9,0,54,10.8
"SF Dukanwala",10,0,29,5,2.9,"U.A.E.","Netherlands","Lahore","01-03-1996","ODI # 1069",1996-03-01,1996,10,0,60,12
"Shakib Al Hasan",10,1,29,5,2.9,"Bangladesh","Afghanistan","Southampton","24-06-2019","ODI # 4172",2019-06-24,2019,10,0,60,12
"Mohammad Amir",10,2,30,5,3,"Pakistan","Australia","Taunton","12-06-2019","ODI # 4157",2019-06-12,2019,10,0,60,12
