"rules" "support" "confidence" "coverage" "lift" "count"
"206" "{Economy_Category=Very_Economic,Team=West Indies} => {Wicket_Category=Four_Wickets}" 0.01 1 0.01 3.44827586206897 1
"227" "{Economy_Category=Very_Economic,Team=England} => {Wicket_Category=Four_Wickets}" 0.05 1 0.05 3.44827586206897 5
"537" "{Economy_Category=Very_Economic,Decade=-0s,Team=West Indies} => {Wicket_Category=Four_Wickets}" 0.01 1 0.01 3.44827586206897 1
"540" "{Economy_Category=Very_Economic,Tournament_Stage=League,Team=West Indies} => {Wicket_Category=Four_Wickets}" 0.01 1 0.01 3.44827586206897 1
"565" "{Economy_Category=Very_Economic,Decade=-0s,Team=England} => {Wicket_Category=Four_Wickets}" 0.05 1 0.05 3.44827586206897 5
"568" "{Economy_Category=Very_Economic,Tournament_Stage=League,Team=England} => {Wicket_Category=Four_Wickets}" 0.05 1 0.05 3.44827586206897 5
"816" "{Economy_Category=Very_Economic,Tournament_Stage=League,Decade=-0s,Team=West Indies} => {Wicket_Category=Four_Wickets}" 0.01 1 0.01 3.44827586206897 1
"827" "{Economy_Category=Very_Economic,Tournament_Stage=League,Decade=-0s,Team=England} => {Wicket_Category=Four_Wickets}" 0.05 1 0.05 3.44827586206897 5
"5" "{Team=Namibia} => {Economy_Category=Economic}" 0.01 1 0.01 3.03030303030303 1
"9" "{Team=Canada} => {Economy_Category=Economic}" 0.01 1 0.01 3.03030303030303 1
"90" "{Wicket_Category=Five_Plus,Team=Namibia} => {Economy_Category=Economic}" 0.01 1 0.01 3.03030303030303 1
"92" "{Decade=-0s,Team=Namibia} => {Economy_Category=Economic}" 0.01 1 0.01 3.03030303030303 1
"94" "{Tournament_Stage=League,Team=Namibia} => {Economy_Category=Economic}" 0.01 1 0.01 3.03030303030303 1
"102" "{Wicket_Category=Five_Plus,Team=Canada} => {Economy_Category=Economic}" 0.01 1 0.01 3.03030303030303 1
"104" "{Decade=-0s,Team=Canada} => {Economy_Category=Economic}" 0.01 1 0.01 3.03030303030303 1
"106" "{Tournament_Stage=League,Team=Canada} => {Economy_Category=Economic}" 0.01 1 0.01 3.03030303030303 1
"385" "{Wicket_Category=Five_Plus,Decade=-0s,Team=Namibia} => {Economy_Category=Economic}" 0.01 1 0.01 3.03030303030303 1
"388" "{Wicket_Category=Five_Plus,Tournament_Stage=League,Team=Namibia} => {Economy_Category=Economic}" 0.01 1 0.01 3.03030303030303 1
