"Player","Total_Wickets","Average_Economy","Matches","Best_Figures","Avg_Strike_Rate"
"A Codrington",5,3,1,"5/27",10.8
"A Nehra",6,2.3,1,"6/23",10
"A Nel",5,4.5,1,"5/45",12
"A Zampa",4,2.66,1,"4/8",4.5
"AA Donald",4,2.12,1,"4/17",12
"AG Hurst",5,2.1,1,"5/21",12
"AJ Bichel",7,2,1,"7/20",8.57
"AJ Hall",5,1.8,1,"5/18",12
"ALF de Mel",10,2.955,2,"5/32",14.4
"Abdul Qadir",9,2.705,2,"5/44",16.2
"B Lee",5,4.58,1,"5/42",11
"BD Julien",4,1.66,1,"4/20",18
"BKV Prasad",5,2.84,1,"5/27",11.4
"CJ McDermott",5,4.4,1,"5/44",12
"CK Langeveldt",5,3.9,1,"5/39",12
"CM Old",4,0.8,1,"4/8",15
"CO Obuya",5,2.4,1,"5/24",12
"CZ Harris",4,2.21,1,"4/7",4.75
"D Madushanka",5,8,1,"5/80",12
"DK Lillee",5,2.83,1,"5/34",14.4
"DL Vettori",4,1.8,1,"4/18",15
"DW Fleming",5,4,1,"5/36",10.8
"DW Steyn",5,5.17,1,"5/50",11.6
"EA Brandes",4,2.1,1,"4/21",15
"GD McGrath",12,1.875,2,"7/15",8.2
"GJ Gilmour",11,2.58,2,"6/14",13.2
"HK Bennett",4,3.2,1,"4/16",7.5
"Imran Tahir",5,4.5,1,"5/45",12
"J Garner",5,3.45,1,"5/38",13.2
"JA Snow",4,0.91,1,"4/11",18
"JDS Neesham",5,3.1,1,"5/31",12
"JP Behrendorff",5,4.4,1,"5/44",12
"KAJ Roach",6,3.17,1,"6/27",8.5
"KH MacLeay",6,3.29,1,"6/39",11.83
"KJ Abbott",4,2.62,1,"4/21",12
"L Klusener",9,2.235,2,"5/21",11.1
"M Hendrick",4,1.25,1,"4/15",18
"M Muralidaran",4,3.8,1,"4/19",7.5
"M Prabhakar",4,2.37,1,"4/19",12
"MA Starc",20,3.3475,4,"6/28",9.9
"MG Johnson",4,2.03,1,"4/19",14
"MJ Santner",5,5.9,1,"5/59",12
"MR Marsh",5,3.66,1,"5/33",10.8
"MW Pringle",4,1.37,1,"4/11",12
"Mohammad Amir",5,3,1,"5/30",12
"Mohammed Shami",26,4.842,5,"7/57",9.586
"Mustafizur Rahman",10,6.7,2,"5/59",12
"N Kapil Dev",5,3.58,1,"5/43",14.4
"NW Bracken",4,1.96,1,"4/19",14.5
"PA Strang",5,2.17,1,"5/21",11.6
"R Rampaul",5,5.1,1,"5/51",12
"RA Jadeja",5,3.66,1,"5/33",10.8
"RAP Nissanka",4,1.71,1,"4/12",10.5
"RGD Willis",4,1.04,1,"4/11",15.75
"RJ Peterson",4,1.71,1,"4/12",10.5
"RJ van Vuuren",5,4.3,1,"5/43",12
"RR Singh",5,3.26,1,"5/31",11.4
"S Madan Lal",4,2.4,1,"4/20",12.5
"SCJ Broad",4,2.25,1,"4/15",10
"SE Bond",6,2.3,1,"6/23",10
"SF Dukanwala",5,2.9,1,"5/29",12
"SJ Benn",4,3.08,1,"4/18",8.75
"SL Malinga",6,4.95,1,"6/38",7.67
"SM Pollock",5,3.85,1,"5/36",11.2
"ST Finn",5,7.1,1,"5/71",12
"Saqlain Mushtaq",5,3.5,1,"5/35",12
"Shafiul Islam",4,2.62,1,"4/21",12
"Shaheen Shah Afridi",11,4.605,2,"6/35",10.585
"Shahid Afridi",10,2.15,2,"5/16",10.8
"Shakib Al Hasan",5,2.9,1,"5/29",12
"Sir RJ Hadlee",5,2.45,1,"5/25",12.2
"Sohail Khan",5,5.5,1,"5/55",12
"TA Boult",5,2.7,1,"5/27",12
"TG Southee",7,3.66,1,"7/33",7.71
"TM Dilshan",4,1.33,1,"4/4",4.5
"TT Bresnan",5,4.8,1,"5/48",12
"VC Drakes",10,3.885,2,"5/33",11.9
"VJ Marks",5,3.25,1,"5/39",14.4
"WPUJC Vaas",6,2.72,1,"6/25",9.17
"WW Davis",7,4.85,1,"7/51",9
"Wahab Riaz",5,4.6,1,"5/46",12
"Wasim Akram",5,3.11,1,"5/28",10.8
"Yuvraj Singh",9,2.215,2,"5/31",9.375
