Player,Span,Mat,Inns,Ct,Max,Ct/Inn
RT Ponting (AUS),1996-2011,46,46,28,3,0.608
JE Root (ENG),2015-2023,26,26,25,4,0.961
V Kohli (IND),2011-2023,37,37,20,2,0.54
ST Jayasuriya (SL),1992-2007,38,38,18,2,0.473
DA Warner (AUS),2015-2023,29,29,17,2,0.586
CH Gayle (WI),2003-2019,35,35,17,2,0.485
F du Plessis (SA),2011-2019,23,22,16,3,0.727
CL Cairns (NZ),1992-2003,28,28,16,3,0.571
EJG Morgan (ENG/IRE),2007-2019,29,29,16,3,0.551
Inzamam-ul-Haq (PAK),1992-2007,35,34,16,3,0.47
BC Lara (WI),1992-2007,34,34,16,2,0.47
DPMD Jayawardene (SL),1999-2015,40,39,16,2,0.41
GC Smith (SA),2003-2011,20,20,15,2,0.75
A Kumble (IND),1996-2007,18,18,14,2,0.777
WTS Porterfield (IRE),2007-2015,21,21,14,3,0.666
MA Starc (AUS),2015-2023,28,28,14,3,0.5
SR Waugh (AUS),1987-1999,33,33,14,2,0.424
PA de Silva (SL),1987-2003,35,35,14,2,0.4
Soumya Sarkar (BAN),2015-2019,14,14,13,4,0.928
PD Collingwood (ENG),2003-2011,18,18,13,2,0.722
CL Hooper (WI),1987-2003,20,20,13,2,0.65
JDP Oram (NZ),2003-2011,23,23,13,2,0.565
Mohammad Nabi (AFG),2015-2023,24,24,13,2,0.541
SB Styris (NZ),2003-2011,26,26,13,2,0.5
MJ Guptill (NZ),2011-2019,27,27,13,2,0.481
Shahid Afridi (PAK),1999-2015,27,27,13,2,0.481
JH Kallis (SA),1996-2011,36,36,13,1,0.361
M Muralidaran (SL),1996-2011,40,39,13,2,0.333
B Lee (AUS),2003-2011,17,17,12,2,0.705
CH Lloyd (WI),1975-1983,17,17,12,3,0.705
AB de Villiers (SA),2007-2015,23,20,12,3,0.6
GA Hick (ENG),1992-1999,20,20,12,2,0.6
CR Woakes (ENG),2015-2023,24,24,12,4,0.5
MJ Clarke (AUS),2007-2015,25,25,12,2,0.48
DL Haynes (WI),1979-1992,25,25,12,2,0.48
N Kapil Dev (IND),1979-1992,26,25,12,2,0.48
TM Dilshan (SL),2007-2015,27,26,12,3,0.461
TA Boult (NZ),2015-2023,29,29,12,2,0.413
Tamim Iqbal (BAN),2007-2019,29,29,12,2,0.413
SM Pollock (SA),1996-2007,31,31,12,2,0.387
SP Fleming (NZ),1996-2007,33,33,12,2,0.363
SR Tendulkar (IND),1992-2011,45,44,12,1,0.272
DJ Mitchell (NZ),2023-2023,10,10,11,3,1.1
GP Thorpe (ENG),1996-1999,11,11,11,3,1
DJ Cullinan (SA),1996-1999,15,15,11,2,0.733
AJ Finch (AUS),2015-2019,18,18,11,3,0.611
HM Amla (SA),2011-2019,22,21,11,2,0.523
RA Jadeja (IND),2015-2023,21,21,11,3,0.523
V Sehwag (IND),2003-2011,22,22,11,3,0.5
ME Waugh (AUS),1992-1999,22,22,11,2,0.5
KS Williamson (NZ),2011-2023,27,27,11,2,0.407
M Azharuddin (IND),1987-1999,30,29,11,2,0.379
Ijaz Ahmed (PAK),1987-1999,29,29,11,3,0.379
LRPL Taylor (NZ),2007-2019,33,33,11,3,0.333
ADR Campbell (ZIM),1992-2003,19,18,10,2,0.555
Mohammed Shami (IND),2015-2023,18,18,10,2,0.555
JM Bairstow (ENG),2019-2023,20,20,10,2,0.5
IT Botham (ENG),1979-1992,22,22,10,2,0.454
WJ Cronje (SA),1992-1999,23,23,10,2,0.434
PJ Cummins (AUS),2015-2023,23,23,10,2,0.434
Z Khan (IND),2003-2011,23,23,10,3,0.434
DA Miller (SA),2015-2023,24,23,10,2,0.434
AR Border (AUS),1979-1992,25,25,10,3,0.4
HH Gibbs (SA),1999-2007,25,25,10,2,0.4
SO Tikolo (KENYA),1996-2011,28,28,10,3,0.357
Javed Miandad (PAK),1975-1996,33,33,10,2,0.303
SPD Smith (AUS),2011-2023,34,34,10,2,0.294
Shakib Al Hasan (BAN),2007-2023,36,36,10,2,0.277
RR Rossouw (SA),2015-2015,6,6,9,3,1.5
SK Raina (IND),2011-2015,12,12,9,3,0.75
JO Holder (WI),2015-2019,16,16,9,2,0.562
Babar Azam (PAK),2019-2023,17,17,9,2,0.529
AK Markram (SA),2019-2023,18,17,9,3,0.529
BA Stokes (ENG),2019-2023,17,17,9,3,0.529
JP Duminy (SA),2011-2019,18,18,9,2,0.5
Younis Khan (PAK),2003-2015,19,18,9,2,0.5
B Zuiderent (NED),1996-2011,18,18,9,2,0.5
AJ Lamb (ENG),1983-1992,19,19,9,2,0.473
Wahab Riaz (PAK),2011-2019,20,20,9,2,0.45
G Kirsten (SA),1996-2003,21,21,9,2,0.428
NJ Astle (NZ),1996-2003,22,22,9,3,0.409
K Srikkanth (IND),1983-1992,23,22,9,2,0.409
IVA Richards (WI),1975-1987,23,23,9,2,0.391
Mahmudullah (BAN),2011-2023,25,25,9,2,0.36
GJ Maxwell (AUS),2015-2023,27,27,9,1,0.333
RG Sharma (IND),2015-2023,28,28,9,2,0.321
DL Vettori (NZ),2003-2015,32,32,9,2,0.281
UT Yadav (IND),2015-2015,8,8,8,3,1
SS Cottrell (WI),2019-2019,9,9,8,3,0.888
Umar Akmal (PAK),2011-2015,14,10,8,4,0.8
M Labuschagne (AUS),2023-2023,11,11,8,2,0.727
D Mongia (IND),2003-2003,11,11,8,3,0.727
KC Wessels (AUS/SA),1983-1992,12,12,8,2,0.666
DT Johnston (IRE),2007-2011,13,13,8,2,0.615
JM Davison (CAN),2003-2011,14,14,8,2,0.571
Litton Das (BAN),2019-2023,14,14,8,2,0.571
BM McMillan (SA),1992-1996,15,15,8,1,0.533
NLTC Perera (SL),2011-2019,16,16,8,2,0.5
MJ Henry (NZ),2015-2023,18,18,8,2,0.444
NH Fairbrother (ENG),1992-1999,19,19,8,2,0.421
