Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100s,50s,0s,4s,6s
SR Tendulkar (IND),1992-2011,45,44,4,2278,152,56.95,2560,88.98,6,15,2,241,27
V Kohli (IND),2011-2023,37,37,7,1795,117,59.83,2035,88.2,5,12,1,159,14
RT Ponting (AUS),1996-2011,46,42,4,1743,140*,45.86,2180,79.95,5,6,1,145,31
RG Sharma (IND),2015-2023,28,28,2,1575,140,60.57,1493,105.49,7,6,2,166,54
KC Sangakkara (SL),2003-2015,37,35,8,1532,124,56.74,1770,86.55,5,7,1,147,14
DA Warner (AUS),2015-2023,29,29,2,1527,178,56.55,1505,101.46,6,5,-,154,41
Shakib Al Hasan (BAN),2007-2023,36,36,4,1332,124*,41.62,1619,82.27,2,11,1,128,12
BC Lara (WI),1992-2007,34,33,4,1225,116,42.24,1420,86.26,2,7,1,131,17
AB de Villiers (SA),2007-2015,23,22,3,1207,162*,63.52,1029,117.29,4,6,4,121,37
CH Gayle (WI),2003-2019,35,34,1,1186,215,35.93,1310,90.53,2,6,2,116,49
KS Williamson (NZ),2011-2023,27,26,7,1167,148,61.42,1437,81.21,2,6,-,114,10
ST Jayasuriya (SL),1992-2007,38,37,3,1165,120,34.26,1285,90.66,3,6,-,120,27
JH Kallis (SA),1996-2011,36,32,7,1148,128*,45.92,1543,74.4,1,9,2,86,13
SPD Smith (AUS),2011-2023,34,30,3,1136,105,42.07,1304,87.11,1,10,1,104,9
TM Dilshan (SL),2007-2015,27,25,4,1112,161*,52.95,1196,92.97,4,4,2,122,9
DPMD Jayawardene (SL),1999-2015,40,34,3,1100,115*,35.48,1280,85.93,4,5,3,99,12
AC Gilchrist (AUS),1999-2007,31,31,1,1085,149,36.16,1107,98.01,1,8,1,141,19
Javed Miandad (PAK),1975-1996,33,30,5,1083,103,43.32,1592,68.02,1,8,2,72,3
Mushfiqur Rahim (BAN),2007-2023,38,37,6,1079,102*,34.8,1359,79.39,1,8,2,85,14
SP Fleming (NZ),1996-2007,33,33,3,1075,134*,35.83,1398,76.89,2,5,2,134,11
HH Gibbs (SA),1999-2007,25,23,4,1067,143,56.15,1221,87.38,2,8,1,106,28
PA de Silva (SL),1987-2003,35,32,3,1064,145,36.68,1229,86.57,2,6,2,107,15
Q de Kock (SA),2015-2023,27,27,2,1044,174,41.76,1081,96.57,4,4,1,112,25
JE Root (ENG),2015-2023,26,25,2,1034,121,44.95,1173,88.15,3,6,1,88,6
IVA Richards (WI),1975-1987,23,21,5,1013,181,63.31,1191,85.05,3,5,-,84+,22+
SC Ganguly (IND),1999-2007,21,21,3,1006,183,55.88,1298,77.5,4,3,1,79,25
ME Waugh (AUS),1992-1999,22,22,3,1004,130,52.84,1199,83.73,4,4,2,87,9
LRPL Taylor (NZ),2007-2019,33,30,3,1002,131*,37.11,1354,74,1,6,2,76,17
MJ Guptill (NZ),2011-2019,27,27,4,995,237*,43.26,1126,88.36,2,4,2,108,24
ML Hayden (AUS),2003-2007,22,21,2,987,158,51.94,1062,92.93,3,2,-,106,23
SR Waugh (AUS),1987-1999,33,30,10,978,120*,48.9,1207,81.02,1,6,-,73,13
S Chanderpaul (WI),1996-2011,31,28,4,970,102*,40.41,1561,62.13,1,7,-,82,13
