Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,X100s,X50s,X0s,X4s,X6s
RG Sharma (IND),2015-2023,28,28,2,1575,140,60.57,1493,105.49,7,6,2,166,54
DA Warner (AUS),2015-2023,29,29,2,1527,178,56.55,1505,101.46,6,5,-,154,41
SR Tendulkar (IND),1992-2011,45,44,4,2278,152,56.95,2560,88.98,6,15,2,241,27
KC Sangakkara (SL),2003-2015,37,35,8,1532,124,56.74,1770,86.55,5,7,1,147,14
V Kohli (IND),2011-2023,37,37,7,1795,117,59.83,2035,88.2,5,12,1,159,14
RT Ponting (AUS),1996-2011,46,42,4,1743,140*,45.86,2180,79.95,5,6,1,145,31
SC Ganguly (IND),1999-2007,21,21,3,1006,183,55.88,1298,77.5,4,3,1,79,25
AB de Villiers (SA),2007-2015,23,22,3,1207,162*,63.52,1029,117.29,4,6,4,121,37
ME Waugh (AUS),1992-1999,22,22,3,1004,130,52.84,1199,83.73,4,4,2,87,9
TM Dilshan (SL),2007-2015,27,25,4,1112,161*,52.95,1196,92.97,4,4,2,122,9
Q de Kock (SA),2015-2023,27,27,2,1044,174,41.76,1081,96.57,4,4,1,112,25
DPMD Jayawardene (SL),1999-2015,40,34,3,1100,115*,35.48,1280,85.93,4,5,3,99,12
S Dhawan (IND),2015-2019,10,10,-,537,137,53.7,570,94.21,3,1,-,65,9
R Ravindra (NZ),2023-2023,10,10,1,578,123*,64.22,543,106.44,3,2,-,55,17
Ramiz Raja (PAK),1987-1996,16,16,3,700,119*,53.84,1092,64.1,3,2,-,50,0
AJ Finch (AUS),2015-2019,18,18,-,787,153,43.72,801,98.25,3,4,2,73,24
ML Hayden (AUS),2003-2007,22,21,2,987,158,51.94,1062,92.93,3,2,-,106,23
IVA Richards (WI),1975-1987,23,21,5,1013,181,63.31,1191,85.05,3,5,-,84+,22+
Saeed Anwar (PAK),1996-2003,21,21,4,915,113*,53.82,1157,79.08,3,3,-,90,6
Mahmudullah (BAN),2011-2023,25,22,4,944,128*,52.44,1113,84.81,3,3,-,74,25
GJ Maxwell (AUS),2015-2023,27,25,6,901,201*,47.42,562,160.32,3,2,2,94,43
JE Root (ENG),2015-2023,26,25,2,1034,121,44.95,1173,88.15,3,6,1,88,6
ST Jayasuriya (SL),1992-2007,38,37,3,1165,120,34.26,1285,90.66,3,6,-,120,27
TM Head (AUS),2023-2023,6,6,-,329,137,54.83,258,127.51,2,1,1,37,13
DJ Mitchell (NZ),2023-2023,10,9,1,552,134,69,497,111.06,2,2,-,48,22
RN ten Doeschate (NED),2007-2011,9,9,2,435,119,62.14,492,88.41,2,3,-,47,7
SS Iyer (IND),2023-2023,11,11,3,530,128*,66.25,468,113.24,2,3,1,37,24
GR Marsh (AUS),1987-1992,13,13,1,579,126*,48.25,987,58.66,2,2,-,43,5
